From Date,To Date,PM2.5,PM10,NO2,NOx,SO2,CO,Ozone,NH3
24-07-2024 19:00,24-07-2024 20:00,64.75,99.75,112.22,67.45,11.9,1.75,50.92,60.52
05-08-2024 10:00,05-08-2024 11:00,21.75,28.0,69.67,46.0,10.32,1.29,48.88,45.4
21-06-2024 05:00,21-06-2024 06:00,59.75,112.25,56.57,40.12,13.85,1.23,65.8,20.0
31-08-2024 11:00,31-08-2024 12:00,37.0,45.75,29.52,45.9,17.27,0.68,18.93,32.42
21-07-2024 19:00,21-07-2024 20:00,40.5,60.25,111.77,67.47,14.62,1.23,12.5,28.75
25-10-2024 14:00,25-10-2024 15:00,37.25,99.0,89.55,63.98,11.05,0.84,54.38,15.88
11-08-2024 04:00,11-08-2024 05:00,32.5,38.5,69.33,73.75,13.7,1.34,8.35,33.65
20-01-2024 09:00,20-01-2024 10:00,184.0,222.0,33.4,32.55,2.48,1.04,31.07,23.43
07-03-2024 08:00,07-03-2024 09:00,129.75,233.75,106.38,67.08,16.15,1.22,18.1,30.25
27-07-2024 04:00,27-07-2024 05:00,,,130.85,78.72,15.3,1.17,5.0,140.8
06-03-2024 11:00,06-03-2024 12:00,77.5,131.0,23.0,19.23,24.32,0.97,53.12,15.73
14-11-2024 12:00,14-11-2024 13:00,351.0,466.0,5.88,24.3,14.1,3.35,34.85,14.78
23-05-2024 08:00,23-05-2024 09:00,71.0,90.75,64.28,45.92,8.6,0.6,8.53,17.73
15-10-2024 18:00,15-10-2024 19:00,40.25,127.5,58.05,48.05,3.48,1.74,11.8,1.45
25-04-2024 07:00,25-04-2024 08:00,95.5,213.0,97.65,68.85,14.15,1.68,8.3,4.4
24-05-2024 09:00,24-05-2024 10:00,66.25,85.0,48.32,37.02,9.75,0.8,12.0,21.27
10-09-2024 02:00,10-09-2024 03:00,43.75,74.25,92.75,88.52,21.83,1.91,16.6,23.8
29-06-2024 19:00,29-06-2024 20:00,38.75,114.5,7.38,15.82,14.7,2.13,25.4,14.8
16-05-2024 15:00,16-05-2024 16:00,93.75,131.75,57.67,41.0,13.9,0.47,92.8,23.93
05-07-2024 21:00,05-07-2024 22:00,23.25,41.0,10.05,18.1,19.05,1.2,20.85,16.77
15-02-2024 20:00,15-02-2024 21:00,148.0,247.75,58.45,59.45,19.68,3.76,13.93,15.45
16-07-2024 14:00,16-07-2024 15:00,27.0,37.0,35.05,28.75,3.05,0.59,35.7,24.6
13-10-2024 13:00,13-10-2024 14:00,33.5,121.25,26.32,31.4,13.42,0.83,94.12,15.03
14-09-2024 15:00,14-09-2024 16:00,25.75,58.5,27.35,34.15,13.68,0.81,14.12,23.02
01-04-2024 22:00,01-04-2024 23:00,10.5,54.25,40.25,34.32,13.03,0.91,31.2,6.38
